time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
9.357999999999794483e+00,3.103749041036641731e+00,9.222792217432039530e-02,1.835440644253118902e-05,-4.549782829879167167e-05,0.000000000000000000e+00,-8.528548479080200195e-02
9.359999999999795151e+00,3.103749076976226373e+00,9.222783278878868285e-02,1.758638149565026315e-05,-4.389020859078478318e-05,0.000000000000000000e+00,-8.530014753341674805e-02
9.361999999999795818e+00,3.103749112677129052e+00,9.222774392896417039e-02,1.811571678357224661e-05,-4.497210614203098504e-05,0.000000000000000000e+00,-8.528655767440795898e-02
9.363999999999796486e+00,3.103749148248105438e+00,9.222765536925560392e-02,1.745645121156103123e-05,-4.359008415566910843e-05,0.000000000000000000e+00,-8.530300855636596680e-02
9.365999999999797154e+00,3.103749183955208490e+00,9.222756655799237147e-02,1.825184735608844521e-05,-4.522366815473295438e-05,0.000000000000000000e+00,-8.530193567276000977e-02
9.367999999999797822e+00,3.103749221165962524e+00,9.222747466014759310e-02,1.896014644804653503e-05,-4.667675440324494323e-05,0.000000000000000000e+00,-8.530837297439575195e-02
9.369999999999798490e+00,3.103749260367285157e+00,9.222737866624433622e-02,2.024247528774452881e-05,-4.931984431867316338e-05,0.000000000000000000e+00,-8.530157804489135742e-02
9.371999999999799158e+00,3.103749301543294870e+00,9.222727860917323550e-02,2.093489212008935296e-05,-5.074003898098967236e-05,0.000000000000000000e+00,-8.529514074325561523e-02
9.373999999999799826e+00,3.103749343545918471e+00,9.222717686892857591e-02,2.106911324776634617e-05,-5.100306630175534511e-05,0.000000000000000000e+00,-8.528655767440795898e-02
9.375999999999800494e+00,3.103749385070027955e+00,9.222707615110477264e-02,2.045636359946741408e-05,-4.971758890178406632e-05,0.000000000000000000e+00,-8.529192209243774414e-02
9.377999999999801162e+00,3.103749425848808308e+00,9.222697700885112981e-02,2.032376175253007436e-05,-4.942745104371832482e-05,0.000000000000000000e+00,-8.528727293014526367e-02
9.379999999999801830e+00,3.103749465961337162e+00,9.222687927825952425e-02,1.979009189251562567e-05,-4.830588647146026924e-05,0.000000000000000000e+00,-8.529692888259887695e-02
9.381999999999802498e+00,3.103749505864081826e+00,9.222678201307163426e-02,2.011397117343554728e-05,-4.896203410828246544e-05,0.000000000000000000e+00,-8.527868986129760742e-02
9.383999999999803165e+00,3.103749544817598238e+00,9.222668674616503470e-02,1.884083492303660097e-05,-4.630754793715377522e-05,0.000000000000000000e+00,-8.529621362686157227e-02
9.385999999999803833e+00,3.103749582774423921e+00,9.222659357590676232e-02,1.911725035090452743e-05,-4.686532573838854589e-05,0.000000000000000000e+00,-8.529227972030639648e-02
9.387999999999804501e+00,3.103749620945508436e+00,9.222649999193482939e-02,1.905510015874107573e-05,-4.672127360110841225e-05,0.000000000000000000e+00,-8.528727293014526367e-02
9.389999999999805169e+00,3.103749658559309399e+00,9.222640759362644991e-02,1.855994975270270871e-05,-4.567962827991530410e-05,0.000000000000000000e+00,-8.527851104736328125e-02
9.391999999999805837e+00,3.103749694419245753e+00,9.222631886145504776e-02,1.730118280582313120e-05,-4.305503151900939439e-05,0.000000000000000000e+00,-8.528476953506469727e-02
9.393999999999806505e+00,3.103749728319388446e+00,9.222623422221358502e-02,1.660009766617436290e-05,-4.158658099845765526e-05,0.000000000000000000e+00,-8.528476953506469727e-02
9.395999999999807173e+00,3.103749760824102921e+00,9.222615250581517321e-02,1.590571266069390697e-05,-4.013210470166578216e-05,0.000000000000000000e+00,-8.529907464981079102e-02
9.397999999999807841e+00,3.103749793205311303e+00,9.222607107536251458e-02,1.647658761521124960e-05,-4.130062716758452955e-05,0.000000000000000000e+00,-8.528763055801391602e-02
9.399999999999808509e+00,3.103749825727870615e+00,9.222598938161515048e-02,1.604706750482688026e-05,-4.039540707863015863e-05,0.000000000000000000e+00,-8.531266450881958008e-02
9.401999999999809177e+00,3.103749859600764438e+00,9.222590491815303715e-02,1.782696218650090013e-05,-4.407042153657003041e-05,0.000000000000000000e+00,-8.529371023178100586e-02
9.403999999999809845e+00,3.103749895372601042e+00,9.222581654756198399e-02,1.794606656388914991e-05,-4.430264827017571017e-05,0.000000000000000000e+00,-8.530908823013305664e-02
9.405999999999810512e+00,3.103749932742993156e+00,9.222572489245936533e-02,1.942556533877100690e-05,-4.735502748984415119e-05,0.000000000000000000e+00,-8.529585599899291992e-02
9.407999999999811180e+00,3.103749971915632067e+00,9.222562953055003787e-02,1.974836647834637914e-05,-4.800956148147232649e-05,0.000000000000000000e+00,-8.530229330062866211e-02
9.409999999999811848e+00,3.103750012308116979e+00,9.222553166916699907e-02,2.064544749049784599e-05,-4.985457304778461986e-05,0.000000000000000000e+00,-8.527529239654541016e-02
9.411999999999812516e+00,3.103750052126912351e+00,9.222543502637678414e-02,1.917465954458025587e-05,-4.679093378972488997e-05,0.000000000000000000e+00,-8.530515432357788086e-02
9.413999999999813184e+00,3.103750091639513986e+00,9.222533904768975832e-02,2.033924437941897655e-05,-4.919045093494499858e-05,0.000000000000000000e+00,-8.529692888259887695e-02
9.415999999999813852e+00,3.103750132765443759e+00,9.222523975394034124e-02,2.078803562252062086e-05,-5.010609143397320374e-05,0.000000000000000000e+00,-8.530265092849731445e-02
9.417999999999814520e+00,3.103750175300619585e+00,9.222513756826676568e-02,2.174853196088291846e-05,-5.208245821779563687e-05,0.000000000000000000e+00,-8.528369665145874023e-02
9.419999999999815188e+00,3.103750218097380387e+00,9.222503486989752641e-02,2.104962820180994915e-05,-5.061880192077745168e-05,0.000000000000000000e+00,-8.529120683670043945e-02
9.421999999999815856e+00,3.103750260165502262e+00,9.222493371170190080e-02,2.101987121154391626e-05,-5.054224052616193341e-05,0.000000000000000000e+00,-8.528512716293334961e-02
9.423999999999816524e+00,3.103750301647393073e+00,9.222483379857304708e-02,2.046337926244167006e-05,-4.937369953951937916e-05,0.000000000000000000e+00,-8.530443906784057617e-02
9.425999999999817192e+00,3.103750343723734595e+00,9.222473268303492400e-02,2.161433951200881175e-05,-5.174468442367937738e-05,0.000000000000000000e+00,-8.528333902359008789e-02
9.427999999999817859e+00,3.103750386253707472e+00,9.222463065711875019e-02,2.091702373615735705e-05,-5.028410382834945714e-05,0.000000000000000000e+00,-8.529871702194213867e-02
9.429999999999818527e+00,3.103750428750488677e+00,9.222452873013955998e-02,2.158114652533079097e-05,-5.164574474169897204e-05,0.000000000000000000e+00,-8.526778221130371094e-02
9.431999999999819195e+00,3.103750469861833672e+00,9.222442970544221519e-02,1.953154620623010688e-05,-4.738173878387879885e-05,0.000000000000000000e+00,-8.528727293014526367e-02
9.433999999999819863e+00,3.103750508596896829e+00,9.222433563715273785e-02,1.920479352133316349e-05,-4.668919476877670869e-05,0.000000000000000000e+00,-8.528476953506469727e-02
9.435999999999820531e+00,3.103750546465789295e+00,9.222424339481995192e-02,1.866534945656647242e-05,-4.555572980198369738e-05,0.000000000000000000e+00,-8.528119325637817383e-02
9.437999999999821199e+00,3.103750582948538561e+00,9.222415405635887853e-02,1.781860865422600979e-05,-4.378523983555651362e-05,0.000000000000000000e+00,-8.528119325637817383e-02
9.439999999999821867e+00,3.103750617744958085e+00,9.222406824402934467e-02,1.697896912678113337e-05,-4.202949718777809014e-05,0.000000000000000000e+00,-8.529299497604370117e-02
9.441999999999822535e+00,3.103750651907435376e+00,9.222398377614476894e-02,1.718464729694180599e-05,-4.244075642495887749e-05,0.000000000000000000e+00,-8.527940511703491211e-02
9.443999999999823203e+00,3.103750685292293809e+00,9.222390095045811254e-02,1.620132708316963051e-05,-4.038725224660211693e-05,0.000000000000000000e+00,-8.528977632522583008e-02
9.445999999999823871e+00,3.103750717629699007e+00,9.222382032623151205e-02,1.613716217558245708e-05,-4.023923332095374281e-05,0.000000000000000000e+00,-8.528977632522583008e-02
9.447999999999824539e+00,3.103750749845271439e+00,9.222373998450572596e-02,1.607949064915349107e-05,-4.010474343975060549e-05,0.000000000000000000e+00,-8.530336618423461914e-02
9.449999999999825206e+00,3.103750783147809500e+00,9.222365741929089422e-02,1.722416000875121993e-05,-4.246278630600799041e-05,0.000000000000000000e+00,-8.528620004653930664e-02
9.451999999999825874e+00,3.103750817235970239e+00,9.222357325517072102e-02,1.686513616844408965e-05,-4.170369478390073103e-05,0.000000000000000000e+00,-8.528190851211547852e-02
9.453999999999826542e+00,3.103750850235221570e+00,9.222349137799021324e-02,1.613521830340001567e-05,-4.017578112827793958e-05,0.000000000000000000e+00,-8.529549837112426758e-02
