time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
1.820000000000001394e+00,-3.201375434883244608e+00,-6.039368730640386929e+00,-1.609481825096973351e-01,-8.990257203236616534e-02,0.000000000000000000e+00,-2.162286043167114258e-01
1.822000000000001396e+00,-3.201695288474015744e+00,-6.039549054888727397e+00,-1.589076774484121934e-01,-9.042305390949252619e-02,0.000000000000000000e+00,-2.163923978805541992e-01
1.824000000000001398e+00,-3.202011060657167896e+00,-6.039730457311183187e+00,-1.568667162904228696e-01,-9.098081106246444505e-02,0.000000000000000000e+00,-2.165615558624267578e-01
1.826000000000001400e+00,-3.202322749711691952e+00,-6.039913013796819996e+00,-1.548244895927146647e-01,-9.157718375465279115e-02,0.000000000000000000e+00,-2.167128324508666992e-01
1.828000000000001402e+00,-3.202630354266298607e+00,-6.040096798835643099e+00,-1.527821565962816930e-01,-9.220943254490673868e-02,0.000000000000000000e+00,-2.168576717376708984e-01
1.830000000000001403e+00,-3.202933874294065841e+00,-6.040281883461744883e+00,-1.507399024380789987e-01,-9.287684091436849976e-02,0.000000000000000000e+00,-2.170010805130004883e-01
1.832000000000001405e+00,-3.203233309710301402e+00,-6.040468338166602891e+00,-1.486974841977284911e-01,-9.357958277636221900e-02,0.000000000000000000e+00,-2.171351909637451172e-01
1.834000000000001407e+00,-3.203528660608903067e+00,-6.040656232414402638e+00,-1.466553234176204701e-01,-9.431645687373418907e-02,0.000000000000000000e+00,-2.172585725784301758e-01
1.836000000000001409e+00,-3.203819928045301246e+00,-6.040845633023974592e+00,-1.446139601232165894e-01,-9.508601903585196802e-02,0.000000000000000000e+00,-2.173701524734497070e-01
1.838000000000001410e+00,-3.204107114243319288e+00,-6.041036603745401301e+00,-1.425740227215523959e-01,-9.588664460228875364e-02,0.000000000000000000e+00,-2.174785137176513672e-01
1.840000000000001412e+00,-3.204390221952537310e+00,-6.041229206598202950e+00,-1.405354085570131029e-01,-9.671822766075992284e-02,0.000000000000000000e+00,-2.175872325897216797e-01
1.842000000000001414e+00,-3.204669253410948215e+00,-6.041423504027837232e+00,-1.384977086772422594e-01,-9.758130009167466368e-02,0.000000000000000000e+00,-2.176870107650756836e-01
1.844000000000001416e+00,-3.204944210825178885e+00,-6.041619557915066885e+00,-1.364613006973910136e-01,-9.847476527469065100e-02,0.000000000000000000e+00,-2.177592515945434570e-01
1.846000000000001418e+00,-3.205215098733516399e+00,-6.041817424681084070e+00,-1.344281387868867250e-01,-9.939426004076612475e-02,0.000000000000000000e+00,-2.178490161895751953e-01
1.848000000000001419e+00,-3.205481921755081842e+00,-6.042017159960635375e+00,-1.323963494865266766e-01,-1.003433612727034768e-01,0.000000000000000000e+00,-2.179212570190429688e-01
1.850000000000001421e+00,-3.205744683735104239e+00,-6.042218820379456012e+00,-1.303670324461819185e-01,-1.013194829697612181e-01,0.000000000000000000e+00,-2.179859876632690430e-01
1.852000000000001423e+00,-3.206003389865922593e+00,-6.042422459161155501e+00,-1.283404351394905329e-01,-1.023218089585871265e-01,0.000000000000000000e+00,-2.180474996566772461e-01
1.854000000000001425e+00,-3.206258045468401985e+00,-6.042628128659411679e+00,-1.263164386139535578e-01,-1.033502854775704277e-01,0.000000000000000000e+00,-2.180914878845214844e-01
1.856000000000001426e+00,-3.206508656838411131e+00,-6.042835878607712097e+00,-1.242961368989337345e-01,-1.044023459734381293e-01,0.000000000000000000e+00,-2.181426286697387695e-01
1.858000000000001428e+00,-3.206755230362563047e+00,-6.043045757958235065e+00,-1.222785266439146701e-01,-1.054797757722215346e-01,0.000000000000000000e+00,-2.181780338287353516e-01
1.860000000000001430e+00,-3.206997772362764731e+00,-6.043257815209100769e+00,-1.202645465619890108e-01,-1.065803353880120652e-01,0.000000000000000000e+00,-2.181977033615112305e-01
1.862000000000001432e+00,-3.207236291037010911e+00,-6.043472094384829241e+00,-1.182551340863459977e-01,-1.077017905868671299e-01,0.000000000000000000e+00,-2.182234525680541992e-01
1.864000000000001434e+00,-3.207470794603797248e+00,-6.043688638889395115e+00,-1.162493722240720423e-01,-1.088457551357586012e-01,0.000000000000000000e+00,-2.182456254959106445e-01
1.866000000000001435e+00,-3.207701290266211647e+00,-6.043907493659156138e+00,-1.142471625631645282e-01,-1.100121476568417106e-01,0.000000000000000000e+00,-2.182466983795166016e-01
1.868000000000001437e+00,-3.207927786517918101e+00,-6.044128700385738462e+00,-1.122498941856698157e-01,-1.111978046349966220e-01,0.000000000000000000e+00,-2.182470560073852539e-01
1.870000000000001439e+00,-3.208150292897871125e+00,-6.044352298029719073e+00,-1.102572232720585299e-01,-1.124031585524923604e-01,0.000000000000000000e+00,-2.182502746582031250e-01
1.872000000000001441e+00,-3.208368817952198970e+00,-6.044578327051825184e+00,-1.082685007809297412e-01,-1.136292771386099854e-01,0.000000000000000000e+00,-2.182320356369018555e-01
1.874000000000001442e+00,-3.208583370994222417e+00,-6.044806825767831349e+00,-1.062851430447661061e-01,-1.148729475490347096e-01,0.000000000000000000e+00,-2.182152271270751953e-01
1.876000000000001444e+00,-3.208793962224113727e+00,-6.045037830105304266e+00,-1.043066205423318488e-01,-1.161349944588310756e-01,0.000000000000000000e+00,-2.181826829910278320e-01
1.878000000000001446e+00,-3.209000602240998923e+00,-6.045271374620032390e+00,-1.023338618168381092e-01,-1.174132213034680128e-01,0.000000000000000000e+00,-2.181490659713745117e-01
1.880000000000001448e+00,-3.209203302254251433e+00,-6.045507492062623278e+00,-1.003665485488735992e-01,-1.187080194859446436e-01,0.000000000000000000e+00,-2.181118726730346680e-01
1.882000000000001450e+00,-3.209402073048587489e+00,-6.045746215529166356e+00,-9.840457439905356263e-02,-1.200193430882385559e-01,0.000000000000000000e+00,-2.180678844451904297e-01
1.884000000000001451e+00,-3.209596925468908069e+00,-6.045987577460346429e+00,-9.644810590744640200e-02,-1.213465825928184971e-01,0.000000000000000000e+00,-2.180124521255493164e-01
1.886000000000001453e+00,-3.209787871087885769e+00,-6.046231608261634527e+00,-9.449770434411618181e-02,-1.226883122286526046e-01,0.000000000000000000e+00,-2.179541587829589844e-01
